,wind_speed_10m,wind_speed_100m,wind_direction_100m,wind_mw,hour,month,dayofweek,quarter,hour_sin,hour_cos,month_sin,month_cos,wind_dir_sin,wind_dir_cos,wind_mw_lag1,wind_mw_lag24,wind_mw_lag48,wind_mw_lag168,wspeed_lag1,wspeed_lag24,wind_mw_roll6,wind_mw_roll24,wspeed_roll6,wspeed_roll24,wind_mw_normalized
2019-01-08 00:00:00,23.424908,37.72965,228.09415,33656.0,0,1,1,1,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7442433554715062,-0.6679085475096971,33843.0,8451.0,11613.0,22036.0,37.179478,2.9024127,31771.333333333332,16439.916666666668,31.816670000000002,18.749118216666666,0.8366935985083903
2019-01-08 01:00:00,23.933908,39.014767,228.36656,33712.0,1,1,1,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7474104705234865,-0.6643625430078524,33656.0,8973.0,10818.0,22748.0,37.72965,8.4042845,32849.833333333336,17490.125,33.792869333333336,20.200253104166666,0.8380857675574891
2019-01-08 02:00:00,25.264202,41.046314,232.12495,33924.0,2,1,1,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7893515064283969,-0.6139415275897375,33712.0,9315.0,10344.0,23870.0,39.014767,5.991594,33383.333333333336,18520.916666666668,35.638078166666666,21.475689875,0.8433561218147918
2019-01-08 03:00:00,25.582806,41.556225,234.51993,34031.0,3,1,1,1,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.8143174632086418,-0.5804197352894217,33924.0,9349.0,9939.0,25922.0,41.046314,9.585739,33551.0,19546.291666666668,37.38160216666667,22.93630320833333,0.8460161591050341
2019-01-08 04:00:00,23.277834,37.99663,242.94948,34251.0,4,1,1,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.8906058761398725,-0.4547759595505572,34031.0,9456.0,9535.0,27429.0,41.556225,9.957108,33775.333333333336,20574.708333333332,38.736679333333335,24.268406791666667,0.8514853946550652
2019-01-08 05:00:00,23.683512,38.175278,254.12875,35811.0,5,1,1,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.961878656315759,-0.27347659959161025,34251.0,9413.0,8522.0,29086.0,37.99663,8.942214,33902.833333333336,21607.833333333332,39.08717733333333,25.43672020833333,0.8902672467371038
2019-01-08 06:00:00,25.071096,40.53159,257.692,36939.0,6,1,1,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.9770158202581787,-0.21316680549569206,35811.0,8883.0,7637.0,29905.0,38.175278,10.296251,34230.833333333336,22707.75,39.253144,26.65476454166667,0.9183095090118085
2019-01-08 07:00:00,26.339111,43.034687,250.95868,37627.0,7,1,1,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.9452835397428535,-0.3262499494118291,36939.0,8406.0,6978.0,30440.0,40.53159,12.261157,34778.0,23876.75,39.720134,27.914570333333334,0.9354133001864512
2019-01-08 08:00:00,28.657898,46.09265,246.0375,38392.0,8,1,1,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.9138114704670508,-0.4061386418981162,37627.0,7843.0,6275.0,30200.0,43.034687,11.808878,35430.5,25094.291666666668,40.39012066666667,29.196800749999998,0.9544313238036047
2019-01-08 09:00:00,29.69727,46.210594,242.63654,38364.0,9,1,1,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.8881086939053187,-0.45963349291559363,38392.0,7580.0,5469.0,31311.0,46.09265,11.841756,36175.166666666664,26367.166666666668,41.23117666666667,30.62529125,0.9537352392790553
