,wind_speed_10m,wind_speed_100m,wind_direction_100m,wind_mw
2019-01-04 11:00:00,20.532627,33.549606,273.6913,22713.0
2019-01-04 12:00:00,23.042812,36.78347,273.3664,23805.0
2019-01-04 13:00:00,24.162945,37.330803,276.64517,23630.0
2019-01-04 14:00:00,21.707731,34.162083,277.87384,23381.0
2019-01-04 15:00:00,19.813087,31.883888,276.48297,23644.0
2019-01-04 16:00:00,19.48661,32.241615,286.2091,23965.0
2019-01-04 17:00:00,20.037485,32.957207,291.80148,23719.0
2019-01-04 18:00:00,20.61766,33.01418,297.96213,23237.0
2019-01-04 19:00:00,18.998316,30.993471,300.7354,22912.0
2019-01-04 20:00:00,17.399586,29.651413,299.0545,22902.0
2019-01-04 21:00:00,18.1041,30.684587,292.05112,23090.0
2019-01-04 22:00:00,19.770523,31.956972,284.34937,24327.0
2019-01-04 23:00:00,19.959719,32.908016,280.08054,25350.0
2019-01-05 00:00:00,20.721119,33.62099,282.99463,25959.0
2019-01-05 01:00:00,20.598795,33.202072,279.3601,26975.0
2019-01-05 02:00:00,19.652176,32.48788,282.80426,27981.0
2019-01-05 03:00:00,19.416653,32.396,284.8084,28830.0
2019-01-05 04:00:00,20.150354,33.56312,292.71445,28389.0
2019-01-05 05:00:00,21.900904,35.9153,298.10617,28928.0
2019-01-05 06:00:00,21.986542,35.936943,312.15778,27576.0
2019-01-05 07:00:00,21.142147,34.247337,320.11737,26263.0
2019-01-05 08:00:00,20.240198,33.270313,324.24603,25125.0
2019-01-05 09:00:00,18.581022,29.957968,327.26477,23754.0
2019-01-05 10:00:00,17.786331,27.971327,328.151,22660.0
2019-01-05 11:00:00,17.429354,27.66384,325.069,21440.0
2019-01-05 12:00:00,17.555307,25.277025,333.79996,20646.0
2019-01-05 13:00:00,19.171478,28.056913,326.5138,19308.0
2019-01-05 14:00:00,17.238699,25.9225,332.72333,17773.0
2019-01-05 15:00:00,15.315873,24.95452,333.43503,17167.0
2019-01-05 16:00:00,14.182355,23.806318,339.64667,16826.0
2019-01-05 17:00:00,13.202726,22.505037,352.6477,16534.0
2019-01-05 18:00:00,13.556282,22.553936,351.74063,15702.0
2019-01-05 19:00:00,13.698934,23.039999,360.0,15161.0
2019-01-05 20:00:00,12.849528,22.42427,354.47253,14606.0
2019-01-05 21:00:00,14.05845,22.91026,351.87,13667.0
2019-01-05 22:00:00,13.138765,20.598795,354.98697,12942.0
2019-01-05 23:00:00,11.525623,19.959719,352.7469,12378.0
2019-01-06 00:00:00,8.287822,17.873554,341.2,11613.0
2019-01-06 01:00:00,11.019764,22.183128,318.28934,10818.0
2019-01-06 02:00:00,12.738099,24.967497,317.33734,10344.0
2019-01-06 03:00:00,13.281023,25.772078,331.64514,9939.0
2019-01-06 04:00:00,13.570615,23.795427,342.38733,9535.0
2019-01-06 05:00:00,13.1041975,22.881956,347.27563,8522.0
2019-01-06 06:00:00,10.24578,22.180206,346.86597,7637.0
2019-01-06 07:00:00,10.587917,22.314192,349.7779,6978.0
2019-01-06 08:00:00,10.041354,21.434364,352.27826,6275.0
2019-01-06 09:00:00,10.538843,20.532627,357.99048,5469.0
2019-01-06 10:00:00,10.182337,17.283749,358.80652,5151.0
2019-01-06 11:00:00,9.72,13.324863,1.5481218,5507.0
2019-01-06 12:00:00,8.049845,10.495713,354.09393,5855.0
2019-01-06 13:00:00,7.6367526,9.931042,316.46872,5853.0
2019-01-06 14:00:00,10.383987,13.979872,325.4914,5849.0
2019-01-06 15:00:00,10.144082,14.33234,334.72232,6116.0
2019-01-06 16:00:00,6.696387,11.792404,328.73633,6942.0
2019-01-06 17:00:00,6.696387,12.475961,313.83093,7581.0
2019-01-06 18:00:00,7.386582,14.264361,317.0454,7924.0
2019-01-06 19:00:00,4.6800003,11.043261,340.9743,7975.0
2019-01-06 20:00:00,5.1544156,7.928178,2.6025116,7925.0
2019-01-06 21:00:00,3.396233,5.0911684,351.87,7408.0
2019-01-06 22:00:00,3.6179552,3.319036,319.39877,7319.0
2019-01-06 23:00:00,1.2979984,0.35999998,270.0,7864.0
2019-01-07 00:00:00,2.9024127,2.9024127,172.87508,8451.0
2019-01-07 01:00:00,5.0142193,8.4042845,260.13425,8973.0
2019-01-07 02:00:00,2.5455842,5.991594,237.26477,9315.0
2019-01-07 03:00:00,4.829907,9.585739,235.71307,9349.0
2019-01-07 04:00:00,4.5536795,9.957108,229.39879,9456.0
2019-01-07 05:00:00,4.68,8.942214,220.10085,9413.0
2019-01-07 06:00:00,5.8048253,10.296251,216.46933,8883.0
2019-01-07 07:00:00,6.725354,12.261157,220.23628,8406.0
2019-01-07 08:00:00,6.763786,11.808878,232.43134,7843.0
2019-01-07 09:00:00,6.6087217,11.841756,250.46326,7580.0
2019-01-07 10:00:00,6.1094027,12.261158,266.6336,8139.0
2019-01-07 11:00:00,6.989936,13.75558,263.9911,9521.0
2019-01-07 12:00:00,9.227524,16.23596,266.186,10857.0
2019-01-07 13:00:00,11.013882,20.16,270.0,12146.0
2019-01-07 14:00:00,14.764389,24.522316,273.3664,14248.0
2019-01-07 15:00:00,15.546833,25.922499,269.20428,16886.0
2019-01-07 16:00:00,16.039202,27.117346,264.66794,20460.0
2019-01-07 17:00:00,16.418526,27.112564,259.28693,24004.0
2019-01-07 18:00:00,15.137133,25.872454,248.7907,27185.0
2019-01-07 19:00:00,15.7908325,27.943514,231.80127,30511.0
2019-01-07 20:00:00,18.218275,30.58517,222.13753,32918.0
2019-01-07 21:00:00,20.08916,33.425762,221.06972,32685.0
2019-01-07 22:00:00,21.67487,35.893642,225.4063,33486.0
2019-01-07 23:00:00,22.725668,37.179478,223.4307,33843.0
2019-01-08 00:00:00,23.424908,37.72965,228.09415,33656.0
2019-01-08 01:00:00,23.933908,39.014767,228.36656,33712.0
2019-01-08 02:00:00,25.264202,41.046314,232.12495,33924.0
2019-01-08 03:00:00,25.582806,41.556225,234.51993,34031.0
2019-01-08 04:00:00,23.277834,37.99663,242.94948,34251.0
2019-01-08 05:00:00,23.683512,38.175278,254.12875,35811.0
2019-01-08 06:00:00,25.071096,40.53159,257.692,36939.0
2019-01-08 07:00:00,26.339111,43.034687,250.95868,37627.0
2019-01-08 08:00:00,28.657898,46.09265,246.0375,38392.0
2019-01-08 09:00:00,29.69727,46.210594,242.63654,38364.0
2019-01-08 10:00:00,31.39233,49.32394,236.3099,38458.0
2019-01-08 11:00:00,32.84494,51.14788,247.22499,38809.0
2019-01-08 12:00:00,32.79361,51.252926,255.76851,38478.0
2019-01-08 13:00:00,31.012281,48.183548,263.56534,37654.0
2019-01-08 14:00:00,30.05515,46.755672,279.75235,37415.0
2019-01-08 15:00:00,30.173496,46.060303,291.552,37852.0
2019-01-08 16:00:00,28.241077,44.41297,289.90384,37718.0
2019-01-08 17:00:00,28.079998,43.35123,294.0108,37185.0
2019-01-08 18:00:00,24.693481,39.463947,316.10873,37082.0
2019-01-08 19:00:00,24.066206,38.08861,306.54507,36764.0
2019-01-08 20:00:00,24.40046,38.344646,294.3994,36377.0
2019-01-08 21:00:00,25.478743,39.28456,296.09537,34671.0
2019-01-08 22:00:00,24.482647,38.714645,292.98874,34207.0
2019-01-08 23:00:00,25.045238,39.9097,291.7055,33864.0
2019-01-09 00:00:00,25.537172,40.28141,294.2744,32960.0
2019-01-09 01:00:00,24.795612,38.49981,298.4821,32406.0
2019-01-09 02:00:00,26.486313,40.641754,304.53473,32087.0
2019-01-09 03:00:00,26.009844,41.23847,315.0001,31762.0
2019-01-09 04:00:00,25.711662,40.60985,319.67422,30950.0
2019-01-09 05:00:00,25.212852,40.147667,320.45758,30648.0
2019-01-09 06:00:00,26.552288,41.112568,322.829,30055.0
2019-01-09 07:00:00,26.574244,41.251034,327.83563,29494.0
2019-01-09 08:00:00,27.257967,42.732468,330.19534,28892.0
2019-01-09 09:00:00,27.908709,43.469162,333.43503,28669.0
2019-01-09 10:00:00,27.553524,43.322823,334.9256,29014.0
2019-01-09 11:00:00,27.943512,43.14747,342.01846,29204.0
2019-01-09 12:00:00,25.959969,40.35213,344.47583,29414.0
2019-01-09 13:00:00,24.20314,46.527824,338.19852,28889.0
2019-01-09 14:00:00,29.175552,43.659554,346.65125,28224.0
2019-01-09 15:00:00,28.006058,43.831387,345.73544,27728.0
2019-01-09 16:00:00,27.416782,42.793083,349.82455,26550.0
2019-01-09 17:00:00,24.288662,38.183765,351.87,26094.0
2019-01-09 18:00:00,23.499481,36.735878,358.31534,24963.0
2019-01-09 19:00:00,20.892412,32.791634,2.5168202,23248.0
2019-01-09 20:00:00,21.841648,35.105072,13.0386715,20935.0
2019-01-09 21:00:00,20.211363,32.023815,8.4032955,18511.0
2019-01-09 22:00:00,23.377836,37.641953,12.70712,16901.0
2019-01-09 23:00:00,23.469128,37.064266,7.8152027,15338.0
2019-01-10 00:00:00,23.110207,36.35109,7.969524,14062.0
2019-01-10 01:00:00,20.907913,32.76198,359.37042,12736.0
2019-01-10 02:00:00,21.602999,33.887836,3.0447254,11613.0
2019-01-10 03:00:00,21.626984,34.03095,6.0723705,11028.0
2019-01-10 04:00:00,20.907913,32.76198,0.6295844,10288.0
2019-01-10 05:00:00,20.275383,32.41799,358.09088,9359.0
2019-01-10 06:00:00,20.633371,32.777798,358.11185,8175.0
2019-01-10 07:00:00,19.652176,31.06239,355.3467,7085.0
2019-01-10 08:00:00,17.298738,29.070974,352.17102,5881.0
2019-01-10 09:00:00,16.946787,27.551172,353.24652,4915.0
2019-01-10 10:00:00,15.646544,25.171696,343.37915,4273.0
2019-01-10 11:00:00,18.861387,25.582806,346.15927,3898.0
2019-01-10 12:00:00,17.518356,23.623243,352.11694,3558.0
2019-01-10 13:00:00,15.617529,21.42227,335.15762,3314.0
2019-01-10 14:00:00,14.973577,20.291357,334.79892,3126.0
2019-01-10 15:00:00,13.70839,20.288164,332.52567,3039.0
2019-01-10 16:00:00,11.384198,20.00512,329.74365,3213.0
2019-01-10 17:00:00,10.805998,18.847641,331.477,3510.0
2019-01-10 18:00:00,9.178235,15.315873,336.44772,3649.0
